AGEP,JWMNP,MARHYP,SCHL,WKHP,JWAP,JWDP,PINCP
68,10,2016,20,50,84,43,70000
25,2,2016,20,40,118,79,70000
45,5,2016,22,48,95,55,72000
29,15,2016,21,45,93,51,73000
49,25,2016,16,60,75,31,75000
44,15,2016,16,55,79,37,75000
43,20,2016,17,60,71,28,76000
34,20,2016,21,43,92,49,77000
33,30,2016,19,45,76,31,80000
47,7,2016,16,40,81,41,80000
53,20,2016,21,40,80,37,86000
39,30,2016,13,60,172,103,94000
28,35,2016,21,45,92,46,96000
54,30,2016,21,40,82,37,100000
58,151,2016,21,40,82,16,100000
25,20,2016,19,50,113,70,100000
44,20,2016,19,42,77,34,101000
44,20,2016,19,45,89,46,103000
22,10,2017,16,32,164,101,410
29,10,2017,14,32,176,107,2400
22,7,2017,19,23,129,84,4000
21,40,2017,19,32,96,49,4900
53,90,2017,1,30,100,43,5000
22,30,2017,19,15,76,31,6000
20,25,2017,20,25,92,48,6000
58,15,2017,21,6,91,49,6900
18,15,2017,18,14,187,112,7000
18,30,2017,19,36,76,31,8400
50,10,2017,19,35,94,53,9000
32,30,2017,17,30,106,61,9000
31,10,2017,18,20,60,19,10000
19,45,2017,16,40,91,43,10000
25,10,2017,19,25,92,51,10000
27,20,2017,19,36,104,61,10000
22,5,2017,19,36,154,96,10000
49,20,2017,22,40,50,13,10240
23,15,2017,19,40,82,40,12000
21,60,2017,18,50,100,49,12000
22,7,2017,18,40,197,118,12000
22,10,2017,18,37,78,37,12900
18,10,2017,13,30,129,83,13000
35,5,2017,19,20,68,28,15600
55,2,2017,16,40,94,55,16000
28,10,2017,18,40,56,17,18000
22,40,2017,20,42,90,43,18000
25,12,2017,22,40,80,39,19600
22,45,2017,20,42,79,31,20000
26,5,2017,16,40,95,55,20000
22,35,2017,19,40,101,55,20000
29,25,2017,19,45,104,60,20400
26,40,2017,19,40,57,14,20800
32,3,2017,19,45,140,90,20800
34,7,2017,20,36,89,49,21500
57,30,2017,8,45,118,73,21600
24,12,2017,18,40,96,55,23020
31,60,2017,19,40,88,37,23200
29,35,2017,19,40,71,25,25000
41,20,2017,16,40,74,31,25000
22,75,2017,16,40,103,49,25000
60,4,2017,19,40,82,43,25200
43,1,2017,19,85,70,31,25900
39,25,2017,16,40,99,55,26000
29,10,2017,16,30,192,115,27800
22,45,2017,18,55,73,25,28800
45,10,2017,16,44,114,73,28800
20,30,2017,18,60,82,37,29000
27,20,2017,19,40,104,61,29000
30,25,2017,21,48,87,43,30000
61,15,2017,18,50,67,25,32000
40,15,2017,17,40,70,28,32000
32,45,2017,16,40,91,43,32000
22,18,2017,19,40,81,39,33000
27,2,2017,21,40,94,55,33000
56,35,2017,19,40,69,23,33300
27,10,2017,21,40,105,64,34000
27,10,2017,21,50,81,40,35000
35,20,2017,18,40,90,47,35000
30,10,2017,17,40,104,63,35000
25,18,2017,20,40,76,34,36000
25,22,2017,18,70,74,31,40000
25,10,2017,17,40,84,43,40000
50,30,2017,18,40,96,51,40000
31,15,2017,22,30,145,91,40000
29,15,2017,20,36,223,130,40000
30,35,2017,16,60,211,122,42000
39,25,2017,16,50,237,134,48500
55,5,2017,17,45,18,4,48600
49,20,2017,19,40,56,16,49900
34,3,2017,19,48,104,65,50000
23,25,2017,20,43,175,105,50000
23,5,2017,19,40,131,85,52000
25,50,2017,20,50,92,43,52600
31,40,2017,20,36,80,33,55000
29,20,2017,15,50,74,31,57000
24,5,2017,21,45,179,109,59000
45,40,2017,20,40,42,7,60000
47,12,2017,16,40,84,43,60000
57,60,2017,19,40,124,73,60000
41,5,2017,22,53,86,46,64000
28,30,2017,11,40,70,25,70000
43,25,2017,15,40,84,40,70000
36,10,2017,16,50,90,49,75000
54,5,2017,20,50,92,52,77000
57,20,2017,16,30,56,16,78000
28,5,2017,16,10,92,52,90000
33,151,2017,17,40,72,13,95000
24,13,2017,24,40,103,62,118000
48,15,2017,21,40,106,64,119000
44,10,2017,22,40,96,55,124000
43,10,2017,22,50,91,50,135000
